Year,Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
2035,1,1,1,26.31785915,172.3306313,96.4085786,81.92155313,27.24779323,334.0166055,23.47101425,153.8400809,56.11546308,592.9199475,24.99362107,233.7179688,438.9019483,49.76120633,39.3335067,15.85013047,161.6893609,94.36058443,63.42158768,268.7250585,213.8792532,142.0921501,130.3890261,136.525208,172.8729626,195.3362891,572.554329,86.6231045,956.8378785,279.738131,29.30911468,233.5716885,244.2664965,337.7853373,154.9165745,18.66986575,142.1200004,41.50446758,59.08815353,52.50887163,67.0012963,146.1040546,40.85303438,2.506026718,142.235535,67.92773223,658.1974548,36.09424673,126.9198757,439.4381595,162.4608924,227.0484088,260.4728863,24.02244857,190.8494369,103.9279515,160.1842912,856.399067,839.5457883,158.2668546,466.601466,133.1406897,267.5695625,432.0104343,59.5769835,19.25129412,286.2509868,402.4012678,270.2778655,447.0561148,123.9477378,177.5325078,240.1008043,62.20005135,28.58998035,222.6857614,77.51463335,72.42312448,106.802472,55.1283642,137.5323336,307.0610485,845.0316115,369.4676578,70.04657893,414.9292897,1.005040868,86.12915257,554.9644523,112.4743686,327.5017715,35.0451223,40.65901852,162.4241102,38.72530895,221.2215331,187.6357134,109.2639859,140.8140491,244.8756015,280.8397128,196.9458824,106.6901629,640.012431,135.5556786,317.3722863,40.73725525,523.3756663,382.078021,29.18101758,26.8854518,581.3022348,172.8058498,748.6350815,97.3806363,317.0388898,468.036097,333.6752103,48.35208758,189.1999498,15.28781985,21.98283061,0.946246385
2035,1,1,2,26.50543125,172.3194377,96.5934285,81.8506434,28.52055213,335.6806488,23.58749397,154.7233896,56.51637018,595.875315,25.11798023,234.1689167,441.086137,49.85961765,39.56622515,15.85492996,162.6192174,98.76343773,66.38134005,270.061801,215.5647114,143.2064637,131.1423452,137.3157988,180.9633933,195.706164,575.4028108,87.30447853,962.323361,281.9290583,30.67674508,244.4926782,245.6705528,340.450486,154.9228129,18.77194346,142.8273776,43.43748695,59.03917453,52.76876513,67.5353917,146.8306495,41.09507415,2.523598475,143.0538207,71.10536278,661.981942,36.37943412,132.850888,440.2722205,170.0550172,228.3500483,260.9682113,24.19289737,191.7969357,104.5229553,160.0497334,856.3939683,841.1486118,159.0565337,469.2792338,133.0239423,268.903433,434.4834048,62.3531796,19.39928318,286.006846,402.0618048,270.0474095,450.5903398,129.74401,185.8344292,251.3238895,62.68171878,28.5914317,223.7931011,78.1210212,72.7851245,107.4161569,57.7075639,138.5134377,308.5880413,849.8755493,369.1548648,73.320361,414.575893,1.01432226,86.63155143,554.4905315,112.3776298,329.3798738,35.01195318,40.8609819,163.6997494,38.69357818,221.0306751,188.5679098,110.044188,141.51296,244.6712614,282.2396703,197.9248826,111.6809937,643.2003508,135.4382635,317.105193,40.9390067,526.3788413,383.9839953,29.38998078,26.86254518,608.477649,180.8849863,752.3630328,97.86109138,316.7701093,470.3634388,349.2738543,48.72163098,189.2080039,15.29431365,21.96915157,0.951320153
2035,1,1,3,26.38676898,172.6171043,97.22534125,81.69976482,28.44469863,337.6107203,23.72555303,155.3506711,56.26312565,599.299671,25.26126518,235.6979989,443.62285,50.18168095,39.7246381,15.87565694,163.2703952,98.49025805,66.19163533,271.611091,215.7438831,143.3278586,131.6690482,137.8729936,180.449725,196.9890814,578.71153,87.38118428,966.2257265,282.1584948,30.5868544,243.8047157,246.6649929,340.7298278,155.1819182,18.85417792,143.6490753,43.32241065,58.92594998,53.0720525,67.5811267,147.6743209,41.25623713,2.514331763,143.6407241,70.90633435,664.66551,36.4075477,132.481086,443.1538115,169.5824415,229.2745584,262.6743168,24.08577445,192.8998441,104.9436145,159.749326,857.8637273,846.6459733,159.966017,471.179962,132.7766971,270.447309,436.2439943,62.18120673,19.41633552,285.4718425,401.3107308,269.5448595,450.9501483,129.3705584,185.311147,250.6126628,62.74622893,28.63225545,225.0778128,78.18720405,73.20427905,107.8517139,57.54475998,137.8950969,310.3638273,853.3236132,368.463218,73.10717933,413.799179,1.019808853,86.9812537,553.457266,112.1670858,330.71876,34.94691998,41.0982968,163.8339647,38.6230422,220.6191714,189.6544524,109.5547683,142.3293227,244.2137421,283.860795,199.0606893,111.3627558,646.89475,135.1871274,316.5136928,41.17628218,528.5179888,386.189615,29.2576787,26.81279755,606.7582875,180.3714727,756.6861715,98.4235521,316.1767508,473.0653315,348.281272,48.76339758,189.5266065,15.31492734,22.008637,0.947826883
2035,1,1,4,25.66358848,173.5481469,97.54409648,81.46196335,28.25664655,339.618451,23.86356354,156.6282853,54.72356125,602.8579757,25.40988903,236.4725492,446.2552058,50.34919595,40.04987195,15.96266128,164.6149692,97.84772045,65.76199395,273.2279515,214.2433748,142.332807,132.7555727,139.0051771,179.2598515,197.6315512,582.1467668,86.77866615,974.1813535,280.2158155,30.38718593,242.2040353,248.6934986,338.3669378,156.0153878,19.01083091,144.5008327,43.03296798,58.7564055,53.38703658,67.11146758,148.5547131,41.59286435,2.442853963,144.8180856,70.43543513,670.1342155,36.1451217,131.6123513,444.6095645,168.4697005,231.1674339,263.5397245,23.42657598,194.0429519,105.8065796,159.2929371,862.472184,849.4285218,160.9193466,475.0572768,132.395119,272.0577593,439.8401735,61.7758235,19.28752293,284.6505853,400.1557743,268.7709425,447.8350205,128.5196328,184.0903832,248.9687433,62.31236738,28.80257243,226.4142908,77.65126358,73.63852708,108.7372947,57.1711094,134.1238827,312.2084885,860.3492725,367.4034713,72.63470158,412.611666,1.02690341,87.69825365,551.8672398,111.8439771,333.4416283,34.84627445,41.34480297,162.6986088,38.51180375,219.9835677,190.7771603,106.5562606,143.1754109,243.5094443,285.544822,200.2461649,110.6407748,650.7403323,134.7956306,315.6025048,41.42241778,532.866118,388.479948,28.45758375,26.7380718,602.7757325,179.1911244,761.1802117,99.00662353,315.2700598,475.880175,346.001557,48.43142568,190.5575401,15.38695874,22.13837942,0.920232473
2035,1,1,5,26.92674815,174.5267379,98.00902965,81.96527668,27.90887815,343.5516068,24.14194474,157.8397353,57.4171976,609.8418795,25.7063712,237.5831747,451.4259225,50.58658953,40.3578995,16.05541846,165.89013,96.62947715,64.94463443,276.3938603,214.0796335,142.2339736,133.7752183,140.0826447,177.0399147,198.5652991,588.8939723,86.7045803,981.705183,280.0057638,30.01207085,239.196596,250.611867,338.1193173,156.8918135,19.1533911,146.1790606,42.50405733,59.1185343,54.00826813,67.06796855,150.2738284,41.9179042,2.565744338,145.9374772,69.5618761,675.3087033,36.11814435,129.9773095,446.7022718,166.3772168,232.951073,264.7802658,24.57808207,196.2940402,106.6292105,160.2723136,867.2876693,853.431453,162.7833142,478.7288513,133.2108305,275.2086888,443.2339293,61.01215318,19.2610071,286.4039325,402.617753,270.4250175,447.495395,126.9350168,181.8136731,245.8876835,62.26022885,28.95182485,229.0403305,77.5848991,74.48803275,109.575886,56.46338755,140.7209767,315.8245183,866.9870593,369.6677118,71.73354485,415.1498125,1.037025118,88.37137763,555.262982,112.5340109,336.0173098,35.06388258,41.8187786,162.5767221,38.74800605,221.3407587,192.9874115,111.7983147,144.8338909,245.0071539,288.8559393,202.5635977,109.268198,658.2798413,135.6266491,317.5464238,41.90174062,536.9786565,392.9851128,29.85730455,26.9018666,595.3013598,176.9714387,770.0000388,100.1588488,317.2099348,481.3929855,341.7150128,48.39290473,191.6062317,15.48263056,22.25194212,0.967807205
2035,1,1,6,28.0200889,177.0640326,98.64917325,82.73112685,27.54133998,350.381212,24.62384732,161.8145863,59.74747888,621.962605,26.21983743,239.141263,460.3992993,50.9178438,41.3720176,16.28784006,170.058457,95.3915285,64.10633263,281.8822523,214.9691614,142.817544,137.1402235,143.5998304,174.7612737,199.8608351,600.5950453,87.0673646,1006.401044,281.1633058,29.6244598,236.122112,256.914886,339.5171215,159.169627,19.63644193,149.0818449,41.95038538,59.67427863,55.08212,67.34150958,153.261819,42.97499245,2.668293075,149.6109861,68.66615713,692.2943055,36.27439113,128.3086616,449.6238125,164.2400786,238.8050868,266.5120935,25.57766713,200.194451,109.3076184,161.7752159,879.936459,859.011243,166.0180476,490.7679255,134.4611251,280.677952,454.3861213,60.21848228,19.34339998,289.0894898,406.3930273,272.9608428,449.340562,125.2943776,179.4746922,242.7170581,62.51669193,29.37964015,233.5933209,77.90315305,75.97029818,112.3322793,55.73545483,146.433876,322.1035413,888.8018475,373.1325163,70.80687473,419.0404245,1.058147285,90.59670365,560.4683363,113.5864888,344.4678458,35.39127595,42.653274,163.2494699,39.10832458,223.4130565,196.8270873,116.3357711,147.7138534,247.3059192,294.597558,206.5901037,107.8614486,671.3622988,136.9005723,320.5193438,42.73511965,550.4882803,400.7922843,31.07085738,27.15546238,587.6413825,174.6940763,785.3031307,102.1492128,320.1806508,490.962802,337.3118173,48.586502,194.4115222,15.70674188,22.57737326,1.005880233
2035,1,1,7,28.98172628,181.2441722,99.7385908,84.02287333,27.40006755,355.0694995,24.95200549,165.4109175,61.7990484,630.2914368,26.56624398,241.7824452,466.56644,51.4754026,42.29591518,16.6806706,173.8457603,94.87544935,63.77292523,285.662969,217.3624588,144.3954418,140.1906441,146.7906043,173.8360025,202.0696119,608.6423235,88.0336102,1028.769967,284.2767115,29.4685318,234.8604205,262.631608,343.2802773,162.9443465,20.07136834,151.0801287,41.72819663,60.60449455,55.81716118,68.08996958,155.3103494,43.92484153,2.760307435,152.9318438,68.3065455,707.6842435,36.67946133,127.6214108,454.5949815,163.3614507,244.1142728,269.4528065,26.45569955,202.8788664,111.7406028,164.2955636,900.7393463,868.5041355,168.24143,501.6812303,136.5553015,284.4379795,464.487412,59.90045793,19.56625005,293.5936848,412.7249275,277.2106325,454.3347128,124.6273324,178.5207435,241.4247248,63.21292208,30.07243243,236.7206321,78.77302598,76.9911617,114.8299459,55.43295293,151.4624843,326.4139043,908.557075,378.9434148,70.43168002,425.5711178,1.07043474,92.60539908,569.2001433,115.355461,352.1289408,35.94458758,43.2238113,165.0648335,39.72036918,226.8967427,199.4614892,120.3331848,149.689136,251.1598725,298.5425315,209.3587173,107.2862349,680.3557268,139.029825,325.5150385,43.3039508,562.7285218,406.1641545,32.13550518,27.57813818,584.5064393,173.7604422,795.8195723,103.5173359,325.1694585,497.534632,335.5162358,49.13335045,199.0042795,16.07348744,23.10669234,1.042248835
2035,1,1,8,28.96041965,185.0897497,100.1784796,84.24450935,26.7471402,362.3547178,25.46402448,166.356304,61.75547763,643.2211445,27.1134699,242.8557065,476.1323245,51.70480638,42.5403315,17.01858961,174.8365964,92.63143433,62.25772125,291.519569,217.5621998,144.5398877,140.9987484,147.6367065,169.7124226,202.9672342,621.1242638,88.1264607,1034.660481,284.55137,28.77018985,229.2944975,264.1296318,343.6051838,166.3927982,20.19161328,154.1776439,40.74067713,60.76534335,56.96274405,68.15321163,158.4946406,44.17899063,2.757560533,153.8117666,66.68605573,711.7335375,36.70989488,124.5993478,456.6111868,159.4853006,245.5118718,270.6474573,26.43517,207.0338376,112.3731325,164.729283,919.792669,872.3525448,171.6902039,504.549625,136.9149115,290.2682658,467.1474618,58.48198345,19.57577147,294.3719618,413.8181693,277.9476288,454.7569538,121.6719857,174.2805992,235.6992676,63.26991548,30.71402268,241.5754996,78.84251978,78.56479118,115.4838074,54.11890865,151.3520587,333.1083443,913.751508,379.9507085,68.75571943,426.7001663,1.092046615,93.1350892,570.712538,115.665158,354.13553,36.03719485,44.10844535,165.2229182,39.82676978,227.4981136,203.552939,120.2435175,152.7613959,251.8255648,304.6639428,213.6486825,104.7417638,694.3084503,139.4000883,326.3808685,44.1937615,565.9484233,414.4885683,32.1132104,27.6523874,570.6491643,169.6378401,812.1414178,105.6384469,326.0355865,507.7391113,327.5569088,49.17365655,203.2160582,16.41437933,23.59776824,1.040873505
2035,1,1,9,29.31284318,188.636244,100.0426367,82.0028871,26.1515578,364.8873488,25.64289605,167.3090305,62.50339433,647.7152065,27.30498708,242.5203574,479.460453,51.63555215,42.77714708,17.35660389,175.8350914,90.54645073,60.8616408,293.5564053,221.1678449,146.9407604,141.8042694,148.4764397,165.8980866,202.6893049,625.4631985,89.5853787,1040.583242,289.27123,28.11956093,224.1418256,265.647827,349.3031028,169.5773578,20.30101895,155.2526434,39.82689113,59.14687903,57.36159643,69.28048058,159.6052095,44.42912873,2.790276758,154.6897263,65.18209418,715.812827,37.31673135,121.7965096,455.9778638,155.9024614,246.9161907,270.2745498,26.7555874,208.484027,113.023078,160.3436231,937.4068113,871.1481633,172.8908201,507.433697,133.268817,292.300109,469.8144038,57.16362563,19.89851991,286.5308863,402.7989515,270.542981,462.3042748,118.9406167,170.364996,230.4028216,64.31986365,31.29195413,243.2600854,80.15460132,79.1188683,116.1526654,52.90724678,153.1873889,335.4366522,918.9882148,369.8312213,67.21417183,415.3339715,1.10064891,93.67653728,555.5085593,112.5849877,356.167244,35.07712943,44.4206335,167.9603237,38.7643924,221.4366739,204.9764034,121.7026708,153.8295822,245.1171891,306.7919863,215.1435088,102.38193,699.156646,135.6879294,317.686375,44.504016,569.1902778,417.3849665,32.50343803,26.91576415,557.8236205,165.8248586,817.8154925,106.3738259,317.3515498,511.2847713,320.198685,49.99853453,207.1110137,16.73910932,24.04890981,1.051581818
2035,1,1,10,28.89760378,191.8529094,101.0136025,78.78761028,25.22063933,370.4243332,26.0321248,169.4207969,61.62053998,657.5447868,27.71754148,244.8760428,486.7396915,52.13904333,43.32391578,17.64696471,178.0619306,87.34565713,58.70990673,298.010838,229.7291697,152.6245683,143.5974509,150.3557271,160.0336929,204.6560087,634.9591228,93.05087795,1053.754424,300.4666813,27.12674783,216.2197708,269.0030413,362.8241887,172.4709903,20.55680237,157.6134686,38.41338103,56.82961205,58.23330678,71.96524635,162.0268834,44.99756695,2.75341481,156.6501108,62.88393138,724.8728735,38.75930248,117.4904101,460.4114583,150.3884309,250.0471225,272.9055793,26.37683043,211.6494396,114.4540904,154.0617791,953.448319,879.616253,175.5156188,513.8563878,128.048566,296.7359718,475.7626318,55.14477788,20.67162799,275.309875,387.0203318,259.9501925,480.2013473,114.7371423,164.3489107,222.255781,66.81161533,31.82402063,246.9567581,83.25755143,80.31658675,117.6194741,51.03252528,151.0196489,340.5297953,930.6228158,355.3467988,64.84298733,399.068727,1.118209138,94.8614566,533.7519968,108.1727569,360.6718263,33.70316208,45.09029793,174.4668272,37.24490513,212.7633399,208.0841351,119.9811546,156.1603369,235.517826,311.4509558,218.4073123,98.76465898,709.7710955,130.3733403,305.2448813,45.17672955,576.3909083,423.7202335,32.0426808,25.8595759,538.1138438,159.9630963,830.2297698,107.9909124,304.9214345,519.048913,308.8778228,51.93603773,210.6565104,17.01907646,24.47111867,1.036579693
