Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2035-01-01,0,0,Calliham 345,59.576984,0.0,0.0,23.305991,23.305991
2035-01-01,0,0,Eden 345,19.251294,0.0,0.0,23.579525,23.579525
2035-01-01,0,0,Tomball 1 345,286.250987,0.0,0.0,23.629316,23.629316
2035-01-01,0,0,Houston 46 345,402.401268,0.0,0.0,9.689636,9.689636
2035-01-01,0,0,Houston 45 345,270.277866,0.0,0.0,23.096774,23.096774
2035-01-01,0,0,Camp Wood 345,447.056115,0.0,0.0,23.531561,23.531561
2035-01-01,0,0,Sarita 1 345,123.947738,0.0,0.0,23.261652,23.261652
2035-01-01,0,0,Brownsville 2 345,177.532508,0.0,0.0,23.26316,23.26316
2035-01-01,0,0,Laredo 5 345,240.100804,0.0,0.0,23.360282,23.360282
2035-01-01,0,0,Snyder 2 345,62.200051,0.0,0.0,22.999571,22.999571
2035-01-01,0,0,Panhandle 3 345,28.58998,0.0,0.0,23.241793,23.241793
2035-01-01,0,0,Allen 1 345,222.685761,0.0,0.0,23.364767,23.364767
2035-01-01,0,0,Castell 345,77.514633,0.0,0.0,23.470719,23.470719
2035-01-01,0,0,Mexia 345,72.423124,0.0,0.0,23.427109,23.427109
2035-01-01,0,0,Bastrop 2 345,106.802472,0.0,0.0,23.384612,23.384612
2035-01-01,0,0,Bayside 1 345,55.128364,0.0,0.0,23.239634,23.239634
2035-01-01,0,0,Tyler 8 345,137.532334,0.0,0.0,23.480355,23.480355
2035-01-01,0,0,Blue Ridge 345,307.061049,0.0,0.0,23.364416,23.364416
2035-01-01,0,0,San Antonio 2 345,845.031611,0.0,0.0,23.366761,23.366761
2035-01-01,0,0,Houston 12 345,369.467658,0.0,0.0,23.237037,23.237037
2035-01-01,0,0,San Perlita 345,70.046579,0.0,0.0,23.263354,23.263354
2035-01-01,0,0,Houston 48 345,414.92929,0.0,0.0,23.700358,23.700358
2035-01-01,0,0,Throckmorton 345,1.005041,0.0,0.0,23.30917,23.30917
2035-01-01,0,0,San Antonio 29 345,86.129153,0.0,0.0,23.408892,23.408892
2035-01-01,0,0,Houston 11 345,554.964452,0.0,0.0,23.709316,23.709316
2035-01-01,0,0,East Bernard 1 345,112.474369,0.0,0.0,23.119153,23.119153
2035-01-01,0,0,Meyersville 345,327.501772,0.0,0.0,23.171432,23.171432
2035-01-01,0,0,Conroe 7 345,35.045122,0.0,0.0,23.635745,23.635745
2035-01-01,0,0,Loving 345,40.659019,0.0,0.0,23.355227,23.355227
2035-01-01,0,0,Merkel 2 345,162.42411,0.0,0.0,22.936945,22.936945
2035-01-01,0,0,Montgomery 2 345,38.725309,0.0,0.0,23.556216,23.556216
2035-01-01,0,0,Houston 20 345,221.221533,0.0,0.0,23.713693,23.713693
2035-01-01,0,0,Fort Worth 12 345,187.635713,0.0,0.0,23.354368,23.354368
2035-01-01,0,0,Alto 345,109.263986,0.0,0.0,23.582339,23.582339
2035-01-01,0,0,Reagan 345,140.814049,0.0,0.0,23.44403,23.44403
2035-01-01,0,0,Pasadena 4 345,244.875601,0.0,0.0,23.697182,23.697182
2035-01-01,0,0,Coppell 345,280.839713,0.0,0.0,23.365603,23.365603
2035-01-01,0,0,Weatherford 4 345,196.945882,0.0,0.0,23.375855,23.375855
2035-01-01,0,0,Los Fresnos 1 345,106.690163,0.0,0.0,23.26316,23.26316
