Unnamed: 0,Simulation,Category,Object,Parameter,Data File
280,REAL_TIME,Generator,55,PMin MW,REAL_TIME_wind.csv
281,REAL_TIME,Generator,55,PMax MW,REAL_TIME_wind.csv
302,DAY_AHEAD,Generator,77,PMin MW,DAY_AHEAD_wind.csv
303,DAY_AHEAD,Generator,77,PMax MW,DAY_AHEAD_wind.csv
304,REAL_TIME,Generator,77,PMin MW,REAL_TIME_wind.csv
305,REAL_TIME,Generator,77,PMax MW,REAL_TIME_wind.csv
306,DAY_AHEAD,Generator,78,PMin MW,DAY_AHEAD_wind.csv
307,DAY_AHEAD,Generator,78,PMax MW,DAY_AHEAD_wind.csv
308,REAL_TIME,Generator,78,PMin MW,REAL_TIME_wind.csv
309,REAL_TIME,Generator,78,PMax MW,REAL_TIME_wind.csv
310,DAY_AHEAD,Generator,79,PMin MW,DAY_AHEAD_wind.csv
311,DAY_AHEAD,Generator,79,PMax MW,DAY_AHEAD_wind.csv
312,REAL_TIME,Generator,79,PMin MW,REAL_TIME_wind.csv
313,REAL_TIME,Generator,79,PMax MW,REAL_TIME_wind.csv
314,DAY_AHEAD,Generator,80,PMin MW,DAY_AHEAD_wind.csv
315,DAY_AHEAD,Generator,80,PMax MW,DAY_AHEAD_wind.csv
316,REAL_TIME,Generator,80,PMin MW,REAL_TIME_wind.csv
317,REAL_TIME,Generator,80,PMax MW,REAL_TIME_wind.csv
318,DAY_AHEAD,Generator,81,PMin MW,DAY_AHEAD_wind.csv
319,DAY_AHEAD,Generator,81,PMax MW,DAY_AHEAD_wind.csv
320,REAL_TIME,Generator,81,PMin MW,REAL_TIME_wind.csv
321,REAL_TIME,Generator,81,PMax MW,REAL_TIME_wind.csv
322,DAY_AHEAD,Generator,82,PMin MW,DAY_AHEAD_wind.csv
323,DAY_AHEAD,Generator,82,PMax MW,DAY_AHEAD_wind.csv
324,REAL_TIME,Generator,82,PMin MW,REAL_TIME_wind.csv
325,REAL_TIME,Generator,82,PMax MW,REAL_TIME_wind.csv
326,DAY_AHEAD,Generator,83,PMin MW,DAY_AHEAD_wind.csv
327,DAY_AHEAD,Generator,83,PMax MW,DAY_AHEAD_wind.csv
328,REAL_TIME,Generator,83,PMin MW,REAL_TIME_wind.csv
329,REAL_TIME,Generator,83,PMax MW,REAL_TIME_wind.csv
334,DAY_AHEAD,Generator,88,PMin MW,DAY_AHEAD_wind.csv
335,DAY_AHEAD,Generator,88,PMax MW,DAY_AHEAD_wind.csv
336,REAL_TIME,Generator,88,PMin MW,REAL_TIME_wind.csv
337,REAL_TIME,Generator,88,PMax MW,REAL_TIME_wind.csv
338,DAY_AHEAD,Generator,89,PMin MW,DAY_AHEAD_wind.csv
339,DAY_AHEAD,Generator,89,PMax MW,DAY_AHEAD_wind.csv
340,REAL_TIME,Generator,89,PMin MW,REAL_TIME_wind.csv
341,REAL_TIME,Generator,89,PMax MW,REAL_TIME_wind.csv
342,DAY_AHEAD,Generator,90,PMin MW,DAY_AHEAD_wind.csv
343,DAY_AHEAD,Generator,90,PMax MW,DAY_AHEAD_wind.csv
344,REAL_TIME,Generator,90,PMin MW,REAL_TIME_wind.csv
345,REAL_TIME,Generator,90,PMax MW,REAL_TIME_wind.csv
346,DAY_AHEAD,Generator,91,PMin MW,DAY_AHEAD_wind.csv
347,DAY_AHEAD,Generator,91,PMax MW,DAY_AHEAD_wind.csv
348,REAL_TIME,Generator,91,PMin MW,REAL_TIME_wind.csv
349,REAL_TIME,Generator,91,PMax MW,REAL_TIME_wind.csv
350,DAY_AHEAD,Generator,92,PMin MW,DAY_AHEAD_wind.csv
351,DAY_AHEAD,Generator,92,PMax MW,DAY_AHEAD_wind.csv
352,REAL_TIME,Generator,92,PMin MW,REAL_TIME_wind.csv
353,REAL_TIME,Generator,92,PMax MW,REAL_TIME_wind.csv
358,DAY_AHEAD,Generator,96,PMin MW,DAY_AHEAD_wind.csv
359,DAY_AHEAD,Generator,96,PMax MW,DAY_AHEAD_wind.csv
360,REAL_TIME,Generator,96,PMin MW,REAL_TIME_wind.csv
361,REAL_TIME,Generator,96,PMax MW,REAL_TIME_wind.csv
362,DAY_AHEAD,Generator,97,PMin MW,DAY_AHEAD_wind.csv
363,DAY_AHEAD,Generator,97,PMax MW,DAY_AHEAD_wind.csv
364,REAL_TIME,Generator,97,PMin MW,REAL_TIME_wind.csv
365,REAL_TIME,Generator,97,PMax MW,REAL_TIME_wind.csv
382,DAY_AHEAD,Generator,109,PMin MW,DAY_AHEAD_wind.csv
383,DAY_AHEAD,Generator,109,PMax MW,DAY_AHEAD_wind.csv
384,REAL_TIME,Generator,109,PMin MW,REAL_TIME_wind.csv
385,REAL_TIME,Generator,109,PMax MW,REAL_TIME_wind.csv
390,DAY_AHEAD,Generator,113,PMin MW,DAY_AHEAD_wind.csv
391,DAY_AHEAD,Generator,113,PMax MW,DAY_AHEAD_wind.csv
392,REAL_TIME,Generator,113,PMin MW,REAL_TIME_wind.csv
393,REAL_TIME,Generator,113,PMax MW,REAL_TIME_wind.csv
394,DAY_AHEAD,Generator,115,PMin MW,DAY_AHEAD_wind.csv
395,DAY_AHEAD,Generator,115,PMax MW,DAY_AHEAD_wind.csv
396,REAL_TIME,Generator,115,PMin MW,REAL_TIME_wind.csv
