Unnamed: 0,Simulation,Category,Object,Parameter,Data File
0,DAY_AHEAD,Area,1,MW Load,DAY_AHEAD_load.csv
1,REAL_TIME,Area,1,MW Load,REAL_TIME_load.csv
2,DAY_AHEAD,Area,2,MW Load,DAY_AHEAD_load.csv
3,REAL_TIME,Area,2,MW Load,REAL_TIME_load.csv
4,DAY_AHEAD,Area,3,MW Load,DAY_AHEAD_load.csv
5,REAL_TIME,Area,3,MW Load,REAL_TIME_load.csv
6,DAY_AHEAD,Area,4,MW Load,DAY_AHEAD_load.csv
7,REAL_TIME,Area,4,MW Load,REAL_TIME_load.csv
8,DAY_AHEAD,Area,5,MW Load,DAY_AHEAD_load.csv
9,REAL_TIME,Area,5,MW Load,REAL_TIME_load.csv
10,DAY_AHEAD,Area,6,MW Load,DAY_AHEAD_load.csv
11,REAL_TIME,Area,6,MW Load,REAL_TIME_load.csv
12,DAY_AHEAD,Area,7,MW Load,DAY_AHEAD_load.csv
