Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2019-01-01,0,0,Eden 345,12.47,0.0,0.0,35.360324,35.360324
2019-01-01,0,0,Tomball 1 345,669.7,0.0,0.0,9.860657,9.860657
2019-01-01,0,0,Houston 46 345,941.44,0.0,0.0,11.352373,11.352373
2019-01-01,0,0,Houston 45 345,632.33,0.0,0.0,11.515226,11.515226
2019-01-01,0,0,Camp Wood 345,289.58,0.0,0.0,32.589564,32.589564
2019-01-01,0,0,Sarita 1 345,129.28,0.0,0.0,18.482615,18.482615
2019-01-01,0,0,Brownsville 2 345,185.17,0.0,0.0,18.54638,18.54638
2019-01-01,0,0,Laredo 5 345,250.43,0.0,0.0,22.811213,22.811213
2019-01-01,0,0,Snyder 2 345,40.29,0.0,0.0,-2130.88322,-2130.88322
2019-01-01,0,0,Panhandle 3 345,16.27,0.0,449.7,-5000.0,-5000.0
2019-01-01,0,0,Allen 1 345,370.02,0.0,0.0,5.790195,5.790195
2019-01-01,0,0,Castell 345,50.21,0.0,0.0,27.967158,27.967158
2019-01-01,0,0,Mexia 345,120.34,0.0,0.0,-1.56818,-1.56818
2019-01-01,0,0,Bastrop 2 345,110.35,0.0,0.0,15.716702,15.716702
2019-01-01,0,0,Bayside 1 345,57.5,0.0,0.0,17.551112,17.551112
2019-01-01,0,0,Tyler 8 345,450.57,0.0,0.0,1.030433,1.030433
2019-01-01,0,0,Blue Ridge 345,510.22,0.0,0.0,19.44578,19.44578
2019-01-01,0,0,San Antonio 2 345,873.1,0.0,0.0,22.827412,22.827412
2019-01-01,0,0,Houston 12 345,864.39,0.0,0.0,11.427397,11.427397
2019-01-01,0,0,San Perlita 345,73.06,0.0,0.0,18.554627,18.554627
2019-01-01,0,0,Houston 48 345,970.75,0.0,0.0,10.839041,10.839041
2019-01-01,0,0,Throckmorton 345,1.67,0.0,0.0,1188.407197,1188.407197
2019-01-01,0,0,San Antonio 29 345,88.99,0.0,0.0,24.768926,24.768926
2019-01-01,0,0,Houston 11 345,1298.37,0.0,0.0,11.045632,11.045632
2019-01-01,0,0,East Bernard 1 345,263.14,0.0,0.0,12.459593,12.459593
2019-01-01,0,0,Meyersville 345,338.38,0.0,0.0,14.665703,14.665703
2019-01-01,0,0,Conroe 7 345,81.99,0.0,0.0,9.818269,9.818269
2019-01-01,0,0,Loving 345,67.56,0.0,0.0,442.128231,442.128231
