case,status,run_status,run_error,price_cap,n_bus_records,lmp_min,lmp_max,lmp_mean,lmp_load_weighted,negative_lmp_fraction,cap_floor_hits,cap_ceiling_hits,total_renewables_curtailment_mwh,total_hourly_summary_curtailment_mwh,total_overgeneration_mwh,total_load_shedding_mwh,total_reserve_shortfall_mwh,n_hourly_rows
penalty_1000,ok,,,,265680,-1000.0,1273.720556,-15.221838186875187,3.9604011506508408,0.10505495332731105,0,0,124325.3576030004,124325.35760300027,889003.3966329995,455.616539,0.0,2160
penalty_10000,ok,,,,265680,-10000.0,12749.612079,-262.9093799401423,-88.35182914482525,0.1280299608551641,0,0,123327.86026700033,123327.86026700023,888692.760706,31.717,0.0,2160
penalty_2000,ok,,,,265680,-2000.0,2549.627993,-44.8604318585667,-7.912534104249877,0.11428033724781693,0,0,125040.34308500047,125040.34308600027,888986.0313510001,14.286,0.0,2160
penalty_300,ok,,,,265680,-300.0,382.182893,2.7053435134710933,9.78557867524886,0.09620972598614876,0,0,118560.1947810003,118560.19478100017,888328.4395390005,572.278996,0.0,2160
penalty_5000,ok,,,,265680,-5000.0,6373.670806,-128.32514410722297,-39.57120747661872,0.11906428786510087,0,0,121351.4271420003,121351.42714300017,889606.5281209997,762.449321,0.0,2160
