Datetime,Abilene 2 345_LMP,Abilene 2 345_LMP DA,Abilene 5 345_LMP,Abilene 5 345_LMP DA,Adrian 1 345_LMP,Adrian 1 345_LMP DA,Agua Dulce 345_LMP,Agua Dulce 345_LMP DA,Allen 1 345_LMP,Allen 1 345_LMP DA,Alpine 2 345_LMP,Alpine 2 345_LMP DA,Alto 345_LMP,Alto 345_LMP DA,Art 345_LMP,Art 345_LMP DA,Austin 17 345_LMP,Austin 17 345_LMP DA,Austin 22 345_LMP,Austin 22 345_LMP DA,Austin 27 345_LMP,Austin 27 345_LMP DA,Bastrop 2 345_LMP,Bastrop 2 345_LMP DA,Bayside 1 345_LMP,Bayside 1 345_LMP DA,Bayside 3 345_LMP,Bayside 3 345_LMP DA,Blue Ridge 345_LMP,Blue Ridge 345_LMP DA,Blum 345_LMP,Blum 345_LMP DA,Brenham 345_LMP,Brenham 345_LMP DA,Brownsville 1 345_LMP,Brownsville 1 345_LMP DA,Brownsville 2 345_LMP,Brownsville 2 345_LMP DA,Bryan 1 345_LMP,Bryan 1 345_LMP DA,Bryan 5 345_LMP,Bryan 5 345_LMP DA
2035-01-01 10:00:00,-13.110892,-13.110892,-14.178083,-14.178083,-46.808223,-46.808223,3.330403,3.330403,21.151365,21.151365,-2.511668,-2.511668,6.49062,6.49062,0.485991,0.485991,1.947027,1.947027,1.947027,1.947027,2.840135,2.840135,3.898329,3.898329,3.408547,3.408547,3.330403,3.330403,21.399492,21.399492,17.331435,17.331435,4.740809,4.740809,3.140612,3.140612,3.142813,3.142813,5.074749,5.074749,5.074749,5.074749
2035-01-01 11:00:00,-272.175731,-268.375511,-283.51884,-278.970527,-562.511524,-559.361999,2.977438,11.456183,20.154266,20.115093,-3.477996,-13.243602,3.582303,3.771758,-0.380034,-2.132766,1.024667,2.515565,1.024667,2.515565,1.781726,4.616323,2.678724,7.105397,3.07219,11.847828,2.977438,11.456183,22.429737,22.429737,-10.257651,-13.251479,3.670857,11.113452,2.747309,10.504974,2.749978,10.516009,3.247697,6.750942,3.247697,6.750942
2035-01-01 12:00:00,-271.573941,-272.138073,-282.862498,-283.548522,-562.081275,-562.560431,9.110678,8.072778,20.147403,20.153106,-1000.0,-1000.0,9.038906,9.933689,6.699707,7.427461,7.392025,7.624863,7.392025,7.624863,8.198702,8.261011,9.154491,9.014749,9.234988,8.145452,9.110678,8.072778,22.429737,22.429737,-10.8306,-10.402943,10.236676,9.57769,8.808758,7.896271,8.812261,7.898318,9.722206,9.90992,9.722206,9.90992
2035-01-01 13:00:00,31.339562,36.74769,32.063002,37.474418,31.607259,37.014302,5.246255,10.503387,22.129393,27.111336,-1000.0,-1000.0,13.401814,18.697201,-0.275678,4.956548,2.401608,7.645794,2.401608,7.645794,4.53863,9.792748,7.070671,12.336557,5.452414,10.710516,5.246255,10.503387,22.429737,27.429737,26.028731,31.367644,9.073083,14.348267,4.745546,10.000323,4.751355,10.006159,9.906349,15.185426,9.906349,15.185426
2035-01-01 14:00:00,-225.828492,-225.828492,-228.921668,-228.921668,-525.036573,-525.036573,27.995618,27.995618,24.698363,24.698363,-1000.0,-1000.0,24.553048,24.553048,-74.902619,-74.902619,-34.408375,-34.408375,-34.408375,-34.408375,-13.119103,-13.119103,12.105397,12.105397,30.964242,30.964242,27.995618,27.995618,27.429737,27.429737,-39.172497,-39.172497,42.802033,42.802033,20.785567,20.785567,20.869211,20.869211,23.797044,23.797044,23.797044,23.797044
2035-01-01 15:00:00,-267.768141,-267.768141,-279.139642,-279.139642,-559.81897,-559.81897,13.389462,13.389462,25.129849,25.129849,-1000.0,-1000.0,17.351814,17.351814,11.670897,11.670897,12.392025,12.392025,12.392025,12.392025,13.341312,13.341312,14.466071,14.466071,13.492006,13.492006,13.389462,13.389462,27.429737,27.429737,-7.077099,-7.077099,15.347862,15.347862,13.140407,13.140407,13.143296,13.143296,15.737573,15.737573,15.737573,15.737573
2035-01-01 16:00:00,9.81619,12.492341,9.785489,12.308432,8.700477,5.808944,10.197255,14.775012,10.936251,19.201779,9.908401,13.044703,10.353508,15.711008,10.056616,13.932552,10.128856,14.365283,10.128856,14.365283,10.173014,14.629804,10.225335,14.943221,10.201119,14.798157,10.197255,14.775012,10.944546,19.251468,10.796549,18.364933,10.266991,15.192747,10.187871,14.7188,10.18798,14.719452,10.283502,15.291654,10.283502,15.291654
2035-01-01 17:00:00,-57.071596,-57.071596,-60.196721,-60.196721,-137.74613,-137.74613,6.057851,6.057851,26.722335,26.722335,3.27176,3.27176,3.275302,3.275302,4.382763,4.382763,4.76792,4.76792,4.76792,4.76792,4.852387,4.852387,4.952468,4.952468,6.107604,6.107604,6.057851,6.057851,27.306584,27.306584,19.204517,19.204517,5.445179,5.445179,5.937012,5.937012,5.938414,5.938414,4.427459,4.427459,4.427459,4.427459
2035-01-01 18:00:00,5.502787,3.94843,5.413013,3.742421,-0.853968,-6.909866,11.705666,12.050332,11.620449,14.56151,7.265474,6.194113,5.887729,6.261266,8.933336,8.533816,9.446668,9.347735,9.446668,9.347735,9.471166,9.530033,9.500192,9.746029,11.788984,12.154737,11.705666,12.050332,11.669171,14.643832,10.581467,12.937084,10.314751,10.780417,11.503305,11.796757,11.505653,11.799699,8.313242,8.657604,8.313242,8.657604
2035-01-01 19:00:00,6.143678,6.143678,5.945226,5.945226,-2.098898,-2.098898,10.301831,10.301831,14.330479,14.330479,7.237044,7.237044,9.221735,9.221735,8.606291,8.606291,9.173866,9.173866,9.173866,9.173866,9.424454,9.424454,9.721362,9.721362,10.350795,10.350795,10.301831,10.301831,14.392247,14.392247,13.21745,13.21745,10.221371,10.221371,10.182908,10.182908,10.184288,10.184288,9.645329,9.645329,9.645329,9.645329
2035-01-01 20:00:00,4.622886,6.859167,4.881033,7.016072,7.638337,9.073474,10.525263,9.640553,14.35072,14.167291,6.918933,8.07064,6.322186,9.174897,8.31236,8.778533,8.767227,9.075634,8.767227,9.075634,8.828696,9.210969,8.901528,9.371321,10.591414,9.66538,10.525263,9.640553,14.348824,14.165421,12.837676,13.142797,9.552043,9.62559,10.364598,9.580255,10.366462,9.580955,8.06971,9.354556,8.06971,9.354556
2035-01-01 21:00:00,9.304068,9.304068,9.474901,9.474901,10.192501,10.192501,15.549687,15.549687,11.691943,11.691943,11.357797,11.357797,6.705514,6.705514,12.683475,12.683475,12.924632,12.924632,12.924632,12.924632,12.680974,12.680974,12.392277,12.392277,15.638103,15.638103,15.549687,15.549687,11.692769,11.692769,10.994934,10.994934,13.232331,13.232331,15.334949,15.334949,15.33744,15.33744,10.423157,10.423157,10.423157,10.423157
2035-01-01 22:00:00,10.269237,10.269237,10.429091,10.429091,10.653835,10.653835,3.82617,3.82617,10.869508,10.869508,12.406865,12.406865,6.708245,6.708245,13.691319,13.691319,13.463882,13.463882,13.463882,13.463882,12.503429,12.503429,11.365441,11.365441,3.084159,3.084159,3.82617,3.82617,10.871121,10.871121,10.340076,10.340076,10.993149,10.993149,4.963602,4.963602,4.73086,4.73086,9.278128,9.278128,9.278128,9.278128
2035-01-01 23:00:00,10.551979,12.271041,10.530611,12.194204,10.622818,12.370886,10.328603,9.968991,11.108789,13.338786,10.207443,11.106557,5.499295,5.187925,9.906081,10.213475,9.580806,9.626374,9.580806,9.626374,9.209699,9.120878,8.769994,8.521943,10.344471,9.9659,10.328603,9.968991,11.105942,13.333495,11.868734,14.713456,8.891227,8.4462,10.290061,9.976497,10.290508,9.97641,7.555127,7.238207,7.555127,7.238207
2035-01-02 00:00:00,10.42096,10.528084,10.568403,10.666879,10.745649,10.814341,16.745772,16.522895,10.864706,10.874885,12.406865,12.406865,6.691405,6.952082,13.712194,13.642699,13.89643,13.81508,13.89643,13.81508,13.572585,13.505251,13.18888,13.138152,16.839908,16.612291,16.745772,16.522895,10.86625,10.876374,10.384636,10.4283,14.077474,13.981799,16.517139,16.305774,16.519791,16.308293,10.922836,10.980176,10.922836,10.980176
2035-01-02 01:00:00,6.667667,6.667667,6.822415,6.822415,8.063868,8.063868,11.075375,11.075375,10.99409,10.99409,8.242607,8.242607,6.302696,6.302696,9.227882,9.227882,9.47831,9.47831,9.47831,9.47831,9.409489,9.409489,9.327947,9.327947,11.131619,11.131619,11.075375,11.075375,10.993727,10.993727,10.200163,10.200163,9.870111,9.870111,10.938772,10.938772,10.940357,10.940357,8.302088,8.302088,8.302088,8.302088
2035-01-02 02:00:00,7.041445,7.041445,7.21991,7.21991,8.529527,8.529527,12.382757,12.382757,11.58429,11.58429,8.916698,8.916698,6.209889,6.209889,10.097493,10.097493,10.379701,10.379701,10.379701,10.379701,10.26897,10.26897,10.137772,10.137772,12.452544,12.452544,12.382757,12.382757,11.584101,11.584101,10.702242,10.702242,10.808205,10.808205,12.213259,12.213259,12.215225,12.215225,8.798211,8.798211,8.798211,8.798211
2035-01-02 03:00:00,4.557968,4.557968,4.859161,4.859161,8.023454,8.023454,11.556149,11.556149,15.71481,15.71481,7.262363,7.262363,6.36308,6.36308,8.907392,8.907392,9.435254,9.435254,9.435254,9.435254,9.493414,9.493414,9.562324,9.562324,11.63546,11.63546,11.556149,11.556149,15.712696,15.712696,13.963974,13.963974,10.340845,10.340845,11.363522,11.363522,11.365757,11.365757,8.524145,8.524145,8.524145,8.524145
2035-01-02 04:00:00,6.09589,6.09589,6.400627,6.400627,9.220623,9.220623,13.982692,13.982692,15.988395,15.988395,9.016229,9.016229,6.639184,6.639184,10.819685,10.819685,11.33313,11.33313,11.33313,11.33313,11.293985,11.293985,11.247605,11.247605,14.078319,14.078319,13.982692,13.982692,15.986973,15.986973,14.321818,14.321818,12.176431,12.176431,13.750437,13.750437,13.753131,13.753131,9.708315,9.708315,9.708315,9.708315
2035-01-02 05:00:00,6.802042,6.802042,7.106929,7.106929,9.76881,9.76881,15.029795,15.029795,16.115962,16.115962,9.800792,9.800792,6.809209,6.809209,11.663275,11.663275,12.168348,12.168348,12.168348,12.168348,12.08822,12.08822,11.99328,11.99328,15.131901,15.131901,15.029795,15.029795,16.11484,16.11484,14.492404,14.492404,12.981568,12.981568,14.781806,14.781806,14.784683,14.784683,10.248845,10.248845,10.248845,10.248845
2035-01-02 06:00:00,6.363051,6.363051,6.658924,6.658924,9.418932,9.418932,13.973882,13.973882,16.048421,16.048421,9.187812,9.187812,6.964649,6.964649,10.930779,10.930779,11.43048,11.43048,11.43048,11.43048,11.398134,11.398134,11.359809,11.359809,14.065839,14.065839,13.973882,13.973882,16.047,16.047,14.424263,14.424263,12.253465,12.253465,13.75054,13.75054,13.753131,13.753131,9.89353,9.89353,9.89353,9.89353
2035-01-02 07:00:00,4.722921,4.722921,5.016041,5.016041,8.143246,8.143246,11.43266,11.43266,15.755301,15.755301,7.331794,7.331794,6.640154,6.640154,8.915332,8.915332,9.431627,9.431627,9.431627,9.431627,9.500485,9.500485,9.582072,9.582072,11.507921,11.507921,11.43266,11.43266,15.753155,15.753155,14.038277,14.038277,10.322069,10.322069,11.249871,11.249871,11.251991,11.251991,8.632879,8.632879,8.632879,8.632879
2035-01-02 08:00:00,15.082065,15.082065,14.99585,14.99585,15.8564,15.8564,11.751997,11.751997,18.834296,18.834296,13.455933,13.455933,5.213757,5.213757,12.164489,12.164489,11.330355,11.330355,11.330355,11.330355,10.622792,10.622792,9.784439,9.784439,11.745554,11.745554,11.751997,11.751997,18.825452,18.825452,20.695262,20.695262,9.657774,9.657774,11.767646,11.767646,11.767464,11.767464,8.019342,8.019342,8.019342,8.019342
